comment_Kyle,comment_checker,initials_extractor,title,doi,url,journal,study_id,exp_id,exp2_id,assay_id,assay2_id,species_english,species_latin,source,sex,pesticide,pesticide_grade,cas_id,cas_id_comment,pesticide_chemical_class,dosage,dosage_unit,duration,duration_unit,control_solvent,temperature,temperature_unit,behaviour_measured,behaviour_measured_standardised,behaviour_assay,behavioural_assay_standardised,data_source,data_file,control_effective_n,control_shoal_n,control_fish_n,control_n,control_mean,control_sd,control_shoal_sd,control_fish_sd,control_se,statistics_comment_control,sample_size_comment_control,treatment_effective_n,treatment_shoal_n,treatment_fish_n,treatment_n,treatment_mean,treatment_sd,treatment_shoal_sd,treatment_fish_sd,treatment_se,statistics_comment_treatment,sample_size_comment_treatment,contact_author,contacted_date,contact_response,contact_comments
does not state number of shoals ,,KM,Glyphosate targets fish monoaminergic systems leading to oxidative stress and anxiety,10.1016/j.envint.2020.106253,https://www.sciencedirect.com/science/article/pii/S0278584618306961?via%3Dihub,Progress in Neuro-Psychopharmacology and Biological Psychiatry,faria_2021,faria_2021_exp_001,faria_2021_exp2_001,faria_2021_exp_001_assay_001,faria_2021_exp_001_assay2_001,zebrafish,Danio rerio,laboratory stock from not specified source,mixed,glyphosate,analytical,1071-83-6,in paper,organophosphate,0.3,ug/L,2,weeks,not reported ,28,celsius,shoaling ,collective behaviour ,average interfish distance,group arrangment ,fig1ca,faria_2021_fig1ca,not reported,not reported,19,19,6.347368421,1.985191964,,,0.455434271,calculated from scatter plot ,counted from the scatter plot,not reported,not reported,21,21,4.598095238,1.772477416,not reported,not reported,0.386786282,calculated from scatter plot,counted from the scatter plot,,,,
does not state number of shoals ,,KM,Glyphosate targets fish monoaminergic systems leading to oxidative stress and anxiety,10.1016/j.envint.2020.106253,https://www.sciencedirect.com/science/article/pii/S0278584618306961?via%3Dihub,Progress in Neuro-Psychopharmacology and Biological Psychiatry,faria_2021,faria_2021_exp_002,faria_2021_exp2_002,faria_2021_exp_002_assay_001,faria_2021_exp_002_assay2_001,zebrafish,Danio rerio,laboratory stock from not specified source,mixed,glyphosate,analytical,1071-83-6,in paper,organophosphate,3,ug/L,2,weeks,not reported ,28,celsius,shoaling ,collective behaviour ,average interfish distance,group arrangment ,fig1ca,faria_2021_fig1ca,not reported,not reported,19,19,6.347368421,1.985191964,,,0.455434271,calculated from scatter plot,counted from the scatter plot,not reported,not reported,19,19,4.185263158,1.154100749,not reported,not reported,0.26476887,calculated from scatter plot,counted from the scatter plot,,,,
does not state number of shoals ,,KM,Glyphosate targets fish monoaminergic systems leading to oxidative stress and anxiety,10.1016/j.envint.2020.106253,https://www.sciencedirect.com/science/article/pii/S0278584618306961?via%3Dihub,Progress in Neuro-Psychopharmacology and Biological Psychiatry,faria_2021,faria_2021_exp_001,faria_2021_exp2_001,faria_2021_exp_001_assay_002,faria_2021_exp_001_assay2_002,zebrafish,Danio rerio,laboratory stock from not specified source,mixed,glyphosate,analytical,1071-83-6,in paper,organophosphate,0.3,ug/L,2,weeks,not reported ,28,celsius,shoaling ,collective behaviour ,farthest distance,group arrangment ,fig1cb,faria_2021_fig1cb,not reported,not reported,20,20,8.915662651,3.09880879,,,0.69291471,calculated from scatter plot,counted from the scatter plot,not reported,not reported,20,20,7.510843373,2.494646382,not reported,not reported,0.557819889,calculated from scatter plot,counted from the scatter plot,,,,
does not state number of shoals ,,KM,Glyphosate targets fish monoaminergic systems leading to oxidative stress and anxiety,10.1016/j.envint.2020.106253,https://www.sciencedirect.com/science/article/pii/S0278584618306961?via%3Dihub,Progress in Neuro-Psychopharmacology and Biological Psychiatry,faria_2021,faria_2021_exp_002,faria_2021_exp2_002,faria_2021_exp_002_assay_002,faria_2021_exp_002_assay2_002,zebrafish,Danio rerio,laboratory stock from not specified source,mixed,glyphosate,analytical,1071-83-6,in paper,organophosphate,3,ug/L,2,weeks,not reported ,28,celsius,shoaling ,collective behaviour ,farthest distance,group arrangment ,fig1cb,faria_2021_fig1cb,not reported,not reported,20,20,8.915662651,3.09880879,,,0.69291471,calculated from scatter plot,counted from the scatter plot,not reported,not reported,19,19,6.381737476,1.788069131,not reported,not reported,0.410211192,calculated from scatter plot,counted from the scatter plot,,,,
sample size for this shoaling measurment is number of fish but does not state number of tanks,,KM,Adult exposure to insecticides causes persistent behavioral and neurochemical alterations in zebrafish,10.1016/j.ntt.2019.106853,https://www.sciencedirect.com/science/article/pii/S0892036219301539?via%3Dihub,Neurotoxicology and Teratology,hawkey_2020,hawkey_2020_exp_001,hawkey_2020_exp2_001,hawkey_2020_exp_001_assay_001,hawkey_2020_exp2_001_assay2_001,zebrafish ,Danio rerio,labratory stock from wild population,mixed,DDT,not reported,50-29-3,https://commonchemistry.cas.org/detail?cas_rn=50-29-3&search=DDT,organochlorine ,10,nm,5,weeks,DMSO,28,celsius,shoaling,collective behaviour ,total distance moved,group movement,fig3b,hawkey_2020_fig3b,not reported,not reported,36,36,2013.653702,535.6481481,,,89.27469136,study reports mean and se,exact sample size provided,not reported,not reported,35,35,1494.963635,687.3399572,not reported,not reported,116.1816578,study reports mean and se,exact sample size provided,,,,
sample size for this shoaling measurment is number of fish but does not state number of tanks,,KM,Adult exposure to insecticides causes persistent behavioral and neurochemical alterations in zebrafish,10.1016/j.ntt.2019.106853,https://www.sciencedirect.com/science/article/pii/S0892036219301539?via%3Dihub,Neurotoxicology and Teratology,hawkey_2020,hawkey_2020_exp_002,hawkey_2020_exp2_002,hawkey_2020_exp_002_assay_001,hawkey_2020_exp2_002_assay2_001,zebrafish ,Danio rerio,labratory stock from wild population,mixed,DDT,not reported,50-29-3,https://commonchemistry.cas.org/detail?cas_rn=50-29-3&search=DDT,organochlorine ,30,nm,5,weeks,DMSO,28,celsius,shoaling ,collective behaviour ,total distance moved,group movement,fig3b,hawkey_2020_fig3b,not reported,not reported,36,36,2013.653702,535.6481481,,,89.27469136,study reports mean and se,exact sample size provided,not reported,not reported,35,35,1741.41326,571.8485849,not reported,not reported,96.66005291,study reports mean and se,exact sample size provided,,,,
sample size for this shoaling measurment is number of fish but does not state number of tanks,,KM,Adult exposure to insecticides causes persistent behavioral and neurochemical alterations in zebrafish,10.1016/j.ntt.2019.106853,https://www.sciencedirect.com/science/article/pii/S0892036219301539?via%3Dihub,Neurotoxicology and Teratology,hawkey_2020,hawkey_2020_exp_003,hawkey_2020_exp2_003,hawkey_2020_exp_003_assay_001,hawkey_2020_exp2_003_assay2_001,zebrafish ,Danio rerio,labratory stock from wild population,mixed,chlorpyrifos,not reported,2921-88-2,https://commonchemistry.cas.org/detail?cas_rn=2921-88-2&search=chlorpyrifos,organophosphate,0.3,um,2,weeks,DMSO,28,celsius,shoaling ,collective behaviour ,change in position ,group movement,fig5b,hawkey_2020_fig5b,not reported,not reported,22,22,1.681254992,4.622693179,,,0.985561497,study reports mean and se,exact sample size provided,not reported,not reported,18,18,3.498849282,3.87528548,not reported,not reported,0.913413547,study reports mean and se,exact sample size provided,,,,
sample size for this shoaling measurment is number of fish but does not state number of tanks,,KM,Adult exposure to insecticides causes persistent behavioral and neurochemical alterations in zebrafish,10.1016/j.ntt.2019.106853,https://www.sciencedirect.com/science/article/pii/S0892036219301539?via%3Dihub,Neurotoxicology and Teratology,hawkey_2020,hawkey_2020_exp_004,hawkey_2020_exp2_004,hawkey_2020_exp_004_assay_001,hawkey_2020_exp2_004_assay2_001,zebrafish ,Danio rerio,labratory stock from wild population,mixed,chlorpyrifos,not reported,2921-88-2,https://commonchemistry.cas.org/detail?cas_rn=2921-88-2&search=chlorpyrifos,organophosphate,1,um,2,weeks,DMSO,28,celsius,shoaling ,collective behaviour ,change in position ,group movement,fig5b,hawkey_2020_fig5b,not reported,not reported,22,22,1.681254992,4.622693179,,,0.985561497,study reports mean and se,exact sample size provided,not reported,not reported,22,22,5.187444432,4.514838699,not reported,not reported,0.962566845,study reports mean and se,exact sample size provided,,,,
sample size for this shoaling measurment is number of fish but does not state number of tanks,,KM,Adult exposure to insecticides causes persistent behavioral and neurochemical alterations in zebrafish,10.1016/j.ntt.2019.106853,https://www.sciencedirect.com/science/article/pii/S0892036219301539?via%3Dihub,Neurotoxicology and Teratology,hawkey_2020,hawkey_2020_exp_005,hawkey_2020_exp2_005,hawkey_2020_exp_005_assay_001,hawkey_2020_exp2_005_assay2_001,zebrafish ,Danio rerio,labratory stock from wild population,mixed,chlorpyrifos,not reported,2921-88-2,https://commonchemistry.cas.org/detail?cas_rn=2921-88-2&search=chlorpyrifos,organophosphate,3,um,2,weeks,DMSO,28,celsius,shoaling ,collective behaviour ,change in position ,group movement,fig5b,hawkey_2020_fig5b,not reported,not reported,22,22,1.681254992,4.622693179,,,0.985561497,study reports mean and se,exact sample size provided,not reported,not reported,20,20,7.228009135,6.208974852,not reported,not reported,1.388368984,study reports mean and se,exact sample size provided,,,,
sample size for this shoaling measurment is number of fish but does not state number of tanks,,KM,Neurobehavioral anomalies in zebrafish after sequential exposures to DDT and chlorpyrifos in adulthood: Do multiple exposures interact?,10.1016/j.ntt.2021.106985,https://www.sciencedirect.com/science/article/pii/S0892036221000398,Neurotoxicology and Teratology,hawkey_2021,hawkey_2021_exp_001,hawkey_2021_exp2_001,hawkey_2021_exp_001_assay_001,hawkey_2021_exp2_001_assay2_001,zebrafish ,Danio rerio,labratory stock from wild population,mixed,chlorpyrifos,not reported ,2921-88-2,https://commonchemistry.cas.org/detail?cas_rn=2921-88-2&search=chlorpyrifos,organophosphate,NA,NA,5,weeks,DMSO,28,celsius,shoaling,collective behaviour ,distance,group movement,fig3a,hawkey_2021_fig3a,not reported,not reported,46,46,184.4213398,76.03453163,,,12.5,study reports mean and se,exact sample size provided,not reported,not reported,47,47,167.6488638,61.75907611,not reported,not reported,10.43918919,study reports mean and se,exact sample size provided,,,,
sample size for this shoaling measurment is number of fish but does not state number of tanks,,KM,Neurobehavioral anomalies in zebrafish after sequential exposures to DDT and chlorpyrifos in adulthood: Do multiple exposures interact?,10.1016/j.ntt.2021.106985,https://www.sciencedirect.com/science/article/pii/S0892036221000398,Neurotoxicology and Teratology,hawkey_2021,hawkey_2021_exp_002,hawkey_2021_exp2_002,hawkey_2021_exp_002_assay_001,hawkey_2021_exp2_002_assay2_001,zebrafish ,Danio rerio,labratory stock from wild population,mixed,DDT,not reported ,50-29-3,https://commonchemistry.cas.org/detail?cas_rn=50-29-3&search=DDT; https://commonchemistry.cas.org/detail?cas_rn=2921-88-2&search=chlorpyrifos,organochlorine ,NA,NA,5,weeks,DMSO,28,celsius,shoaling,collective behaviour ,distance,group movement,fig3a,hawkey_2021_fig3a,not reported,not reported,46,46,184.4213398,76.03453163,,,12.5,study reports mean and se,exact sample size provided,not reported,not reported,42,42,191.4803442,87.21899232,not reported,not reported,13.96621622,study reports mean and se,exact sample size provided,,,,
sample size for this shoaling measurment is number of fish but does not state number of tanks,,KM,Neurobehavioral anomalies in zebrafish after sequential exposures to DDT and chlorpyrifos in adulthood: Do multiple exposures interact?,10.1016/j.ntt.2021.106985,https://www.sciencedirect.com/science/article/pii/S0892036221000398,Neurotoxicology and Teratology,hawkey_2021,hawkey_2021_exp_003,hawkey_2021_exp2_003,hawkey_2021_exp_003_assay_001,hawkey_2021_exp2_003_assay2_001,zebrafish ,Danio rerio,labratory stock from wild population,mixed,chlorpyrifos ; DDT ,not reported ,2921-88-2 ; 50-29-3,https://commonchemistry.cas.org/detail?cas_rn=2921-88-2&search=chlorpyrifos,organophosphate and organochlorine,NA,NA,5,weeks,DMSO,28,celsius,shoaling,collective behaviour ,distance,group movement,fig3a,hawkey_2021_fig3a,not reported,not reported,46,46,184.4213398,76.03453163,,,12.5,study reports mean and se,exact sample size provided,not reported,not reported,32,32,226.6114671,68.58363121,not reported,not reported,14.30067568,study reports mean and se,exact sample size provided,,,,
sample size for this shoaling measurment is number of fish but does not state number of tanks,,KM,Neurobehavioral anomalies in zebrafish after sequential exposures to DDT and chlorpyrifos in adulthood: Do multiple exposures interact?,10.1016/j.ntt.2021.106985,https://www.sciencedirect.com/science/article/pii/S0892036221000398,Neurotoxicology and Teratology,hawkey_2021,hawkey_2021_exp_001,hawkey_2021_exp2_004,hawkey_2021_exp_001_assay_002,hawkey_2021_exp2_004_assay2_001,zebrafish ,Danio rerio,labratory stock from wild population,mixed,chlorpyrifos,not reported ,2921-88-2,https://commonchemistry.cas.org/detail?cas_rn=2921-88-2&search=chlorpyrifos,organophosphate,NA,NA,5,weeks,DMSO,28,celsius,shoaling,collective behaviour ,change in position ,group movement,fig3b,hawkey_2021_fig3b,not reported,not reported,46,46,4.169755824,6.380816048,,,0.9408,study reports mean and se,exact sample size provided,not reported,not reported,47,47,6.443355824,7.755116484,not reported,not reported,1.1312,study reports mean and se,exact sample size provided,,,,
sample size for this shoaling measurment is number of fish but does not state number of tanks,,KM,Neurobehavioral anomalies in zebrafish after sequential exposures to DDT and chlorpyrifos in adulthood: Do multiple exposures interact?,10.1016/j.ntt.2021.106985,https://www.sciencedirect.com/science/article/pii/S0892036221000398,Neurotoxicology and Teratology,hawkey_2021,hawkey_2021_exp_002,hawkey_2021_exp2_005,hawkey_2021_exp_002_assay_002,hawkey_2021_exp2_005_assay2_001,zebrafish ,Danio rerio,labratory stock from wild population,mixed,DDT,not reported ,50-29-3,https://commonchemistry.cas.org/detail?cas_rn=50-29-3&search=DDT,organochlorine ,NA,NA,5,weeks,DMSO,28,celsius,shoaling,collective behaviour ,change in position ,group movement,fig3b,hawkey_2021_fig3b,not reported,not reported,46,46,4.169755824,6.380816048,,,0.9408,study reports mean and se,exact sample size provided,not reported,not reported,42,42,6.779355824,8.056856836,not reported,not reported,1.2432,study reports mean and se,exact sample size provided,,,,
sample size for this shoaling measurment is number of fish but does not state number of tanks,,KM,Neurobehavioral anomalies in zebrafish after sequential exposures to DDT and chlorpyrifos in adulthood: Do multiple exposures interact?,10.1016/j.ntt.2021.106985,https://www.sciencedirect.com/science/article/pii/S0892036221000398,Neurotoxicology and Teratology,hawkey_2021,hawkey_2021_exp_003,hawkey_2021_exp2_006,hawkey_2021_exp_003_assay_002,hawkey_2021_exp2_006_assay2_001,zebrafish ,Danio rerio,labratory stock from wild population,mixed,chlorpyrifos ; DDT,not reported ,2921-88-2 ; 50-29-3,https://commonchemistry.cas.org/detail?cas_rn=50-29-3&search=DDT; https://commonchemistry.cas.org/detail?cas_rn=2921-88-2&search=chlorpyrifos,organophosphate and organochlorine,NA,NA,5,weeks,DMSO,28,celsius,shoaling,collective behaviour ,change in position ,group movement,fig3b,hawkey_2021_fig3b,not reported,not reported,46,46,4.169755824,6.380816048,,,0.9408,study reports mean and se,exact sample size provided,not reported,not reported,32,32,2.344155824,9.123374534,not reported,not reported,1.6128,study reports mean and se,exact sample size provided,,,,
sample size for this shoaling measurment is number of fish but does not state number of tanks,,KM,Neurobehavioral anomalies in zebrafish after sequential exposures to DDT and chlorpyrifos in adulthood: Do multiple exposures interact?,10.1016/j.ntt.2021.106985,https://www.sciencedirect.com/science/article/pii/S0892036221000398,Neurotoxicology and Teratology,hawkey_2021,hawkey_2021_exp_004,hawkey_2021_exp2_007,hawkey_2021_exp_004_assay_001,hawkey_2021_exp2_007_assay2_001,zebrafish ,Danio rerio,labratory stock from wild population,mixed,chlorpyrifos,not reported ,2921-88-2,https://commonchemistry.cas.org/detail?cas_rn=2921-88-2&search=chlorpyrifos,organophosphate,NA,NA,5,weeks,DMSO,28,celsius,shoaling,collective behaviour ,change in position ,group movement,fig3b,hawkey_2021_fig3b,not reported,not reported,37,37,5.142963907,8.220650801,,,1.351466667,study reports mean and se,exact sample size provided,not reported,not reported,35,35,7.379319462,7.709835173,not reported,not reported,1.3032,study reports mean and se,exact sample size provided,,,,
sample size for this shoaling measurment is number of fish but does not state number of tanks,,KM,Neurobehavioral anomalies in zebrafish after sequential exposures to DDT and chlorpyrifos in adulthood: Do multiple exposures interact?,10.1016/j.ntt.2021.106985,https://www.sciencedirect.com/science/article/pii/S0892036221000398,Neurotoxicology and Teratology,hawkey_2021,hawkey_2021_exp_005,hawkey_2021_exp2_008,hawkey_2021_exp_005_assay_001,hawkey_2021_exp2_008_assay2_001,zebrafish ,Danio rerio,labratory stock from wild population,mixed,DDT,not reported ,50-29-3,https://commonchemistry.cas.org/detail?cas_rn=50-29-3&search=DDT,organochlorine ,NA,NA,5,weeks,DMSO,28,celsius,shoaling,collective behaviour ,change in position ,group movement,fig3b,hawkey_2021_fig3b,not reported,not reported,37,37,5.142963907,8.220650801,,,1.351466667,study reports mean and se,exact sample size provided,not reported,not reported,39,39,0.943763907,10.54988329,not reported,not reported,1.689333333,study reports mean and se,exact sample size provided,,,,
sample size for this shoaling measurment is number of fish but does not state number of tanks,,KM,Neurobehavioral anomalies in zebrafish after sequential exposures to DDT and chlorpyrifos in adulthood: Do multiple exposures interact?,10.1016/j.ntt.2021.106985,https://www.sciencedirect.com/science/article/pii/S0892036221000398,Neurotoxicology and Teratology,hawkey_2021,hawkey_2021_exp_006,hawkey_2021_exp2_009,hawkey_2021_exp_006_assay_001,hawkey_2021_exp2_009_assay2_001,zebrafish ,Danio rerio,labratory stock from wild population,mixed,chlorpyrifos ; DDT,not reported ,2921-88-2 ; 50-29-3,https://commonchemistry.cas.org/detail?cas_rn=50-29-3&search=DDT; https://commonchemistry.cas.org/detail?cas_rn=2921-88-2&search=chlorpyrifos,organophosphate and organochlorine,NA,NA,5,weeks,DMSO,28,celsius,shoaling,collective behaviour ,change in position ,group movement,fig3b,hawkey_2021_fig3b,not reported,not reported,37,37,5.142963907,8.220650801,,,1.351466667,study reports mean and se,exact sample size provided,not reported,not reported,23,23,2.19869724,6.172768041,not reported,not reported,1.287111111,study reports mean and se,exact sample size provided,,,,
,,KM,Waterborne Exposure of Paclobutrazol at Environmental Relevant Concentration Induce Locomotion Hyperactivity in Larvae and Anxiolytic Exploratory Behavior in Adult Zebrafish,10.3390/ijerph17134632 ,https://www.mdpi.com/1660-4601/17/13/4635,Environmental Research and Public Health,hussian_2020,hussian_2020_exp_001,hussian_2020_exp2_003,hussian_2020_exp_001_assay_007,hussian_2020_exp2_003_assay2_004,zebrafish ,Danio rerio,laboratory stock from not specified source,mixed,paclobutrazol,not reported ,76738-62-0,https://commonchemistry.cas.org/detail?cas_rn=76738-62-0&search=paclobutrazol,triazole,100,ug/L,14,days,not reported ,26.5,celsius,shoaling,collective behaviour ,average speed ,group movement ,fig9a,hussian_2020_fig9a,15,10,30,30,4.297142973,5.114495405,2.952855297,5.114495405,0.933774834,study reports mean and se,exact sample size provided,15,10,30,30,2.798206186,4.690826565,2.70824998,4.690826565,0.856423841,study reports mean and se ,exact sample size provided,,,,
,,KM,Waterborne Exposure of Paclobutrazol at Environmental Relevant Concentration Induce Locomotion Hyperactivity in Larvae and Anxiolytic Exploratory Behavior in Adult Zebrafish,10.3390/ijerph17134632 ,https://www.mdpi.com/1660-4601/17/13/4635,Environmental Research and Public Health,hussian_2020,hussian_2020_exp_002,hussian_2020_exp2_004,hussian_2020_exp_002_assay_007,hussian_2020_exp2_004_assay2_004,zebrafish ,Danio rerio,laboratory stock from not specified source,mixed,paclobutrazol,not reported ,76738-62-0,https://commonchemistry.cas.org/detail?cas_rn=76738-62-0&search=paclobutrazol,triazole,1000,ug/L,14,days,not reported ,26.5,celsius,shoaling,collective behaviour ,average speed ,group movement ,fig9a,hussian_2020_fig9a,15,10,30,30,4.297142973,5.114495405,2.952855297,5.114495405,0.933774834,study reports mean and se,exact sample size provided,15,10,30,30,2.871229556,2.490868081,1.438103357,2.490868081,0.454768212,study reports mean and se ,exact sample size provided,,,,
,,KM,Waterborne Exposure of Paclobutrazol at Environmental Relevant Concentration Induce Locomotion Hyperactivity in Larvae and Anxiolytic Exploratory Behavior in Adult Zebrafish,10.3390/ijerph17134632 ,https://www.mdpi.com/1660-4601/17/13/4635,Environmental Research and Public Health,hussian_2020,hussian_2020_exp_001,hussian_2020_exp2_005,hussian_2020_exp_001_assay_008,hussian_2020_exp2_005_assay2_001,zebrafish ,Danio rerio,laboratory stock from not specified source,mixed,paclobutrazol,not reported ,76738-62-0,https://commonchemistry.cas.org/detail?cas_rn=76738-62-0&search=paclobutrazol,triazole,100,ug/L,14,days,not reported ,26.5,celsius,shoaling,collective behaviour ,time in top ,group movement ,fig9b,hussian_2020_fig9b,15,10,30,30,33.55949144,62.17238713,35.89524444,62.17238713,11.35107296,study reports mean and se,exact sample size provided,15,10,30,30,7.065231879,93.02820811,53.70986101,93.02820811,16.98454936,study reports mean and se ,exact sample size provided,,,,
,,KM,Waterborne Exposure of Paclobutrazol at Environmental Relevant Concentration Induce Locomotion Hyperactivity in Larvae and Anxiolytic Exploratory Behavior in Adult Zebrafish,10.3390/ijerph17134632 ,https://www.mdpi.com/1660-4601/17/13/4635,Environmental Research and Public Health,hussian_2020,hussian_2020_exp_002,hussian_2020_exp2_006,hussian_2020_exp_002_assay_008,hussian_2020_exp2_006_assay2_001,zebrafish ,Danio rerio,laboratory stock from not specified source,mixed,paclobutrazol,not reported ,76738-62-0,https://commonchemistry.cas.org/detail?cas_rn=76738-62-0&search=paclobutrazol,triazole,1000,ug/L,14,days,not reported ,26.5,celsius,shoaling,collective behaviour ,time in top ,group movement ,fig9b,hussian_2020_fig9b,15,10,30,30,33.55949144,62.17238713,35.89524444,62.17238713,11.35107296,study reports mean and se,exact sample size provided,15,10,30,30,26.26000435,91.17112305,52.63767243,91.17112305,16.64549356,study reports mean and se ,exact sample size provided,,,,
