comment_Kyle,comment_checker,initials_extractor,title,doi,url,journal,study_id,exp_id,exp2_id,assay_id,assay2_id,species_english,species_latin,source,sex,pesticide,pesticide_grade,cas_id,cas_id_comment,pesticide_chemical_class,dosage,dosage_unit,duration,duration_unit,control_solvent,temperature,temperature_unit,behaviour_measured,behaviour_measured_standardised,behaviour_assay,behavioural_assay_standardised,data_source,data_file,control_effective_n,control_shoal_n,control_fish_n,control_n,control_mean,control_sd,control_shoal_sd,control_fish_sd,control_se,statistics_comment_control,sample_size_comment_control,treatment_effective_n,treatment_shoal_n,treatment_fish_n,treatment_n,treatment_mean,treatment_sd,treatment_shoal_sd,treatment_fish_sd,treatment_se,statistics_comment_treatment,sample_size_comment_treatment,contact_author,contacted_date,contact_response,contact_comments
,,KM,Comparison of social behavior responses of Japanese medaka (Oryzias latipes) to lethal and sublethal chlorpyrifos concentrations at different exposure times,10.1016/j.ecoenv.2017.07.007,https://www.sciencedirect.com/science/article/pii/S0147651317304219?via%3Dihub,Ecotoxicology and Environmental Safety,khalil_2017 ,khalil_2017_exp_001,khalil_2017_exp2_001,khalil_2017_exp_001_assay_004,khalil_2017_exp2_001_assay2_004,Japanese medaka,Oryzias latipes,laboratory stock from not specified source,not reported ,chlorpyrifos,analytical,2921-88-2,https://commonchemistry.cas.org/detail?cas_rn=2921-88-2&search=chlorpyrifos,organophosphate,0.012,mg/L,4,days,ethanol,25,celsius,schooling,collective behaviour ,duration ,duration of group behaviour,fig1b,khalil_2017_fig1b,1.6,1,4,4,2.628309339,0.924187726,0.462093863,0.924187726,0.462093863,study reports mean and sd,exact sample size provided,1.6,1,4,4,2.628309339,0.924187726,0.42755716,0.85511432,0.42755716,study reports mean and sd,exact sample size provided,,,,
,,KM,Comparison of social behavior responses of Japanese medaka (Oryzias latipes) to lethal and sublethal chlorpyrifos concentrations at different exposure times,10.1016/j.ecoenv.2017.07.007,https://www.sciencedirect.com/science/article/pii/S0147651317304219?via%3Dihub,Ecotoxicology and Environmental Safety,khalil_2017 ,khalil_2017_exp_001,khalil_2017_exp2_001,khalil_2017_exp_001_assay_005,khalil_2017_exp2_001_assay2_005,Japanese medaka,Oryzias latipes,laboratory stock from not specified source,not reported ,chlorpyrifos,analytical,2921-88-2,https://commonchemistry.cas.org/detail?cas_rn=2921-88-2&search=chlorpyrifos,organophosphate,0.012,mg/L,8,days,ethanol,25,celsius,schooling,collective behaviour ,duration ,duration of group behaviour,fig1b,khalil_2017_fig1b,1.6,1,4,4,1.717924461,0.404969716,0.202484858,0.404969716,0.202484858,study reports mean and sd,exact sample size provided,1.6,1,4,4,1.717924461,0.404969716,1.038411552,2.076823104,1.038411552,study reports mean and sd,exact sample size provided,,,,
,,KM,Comparison of social behavior responses of Japanese medaka (Oryzias latipes) to lethal and sublethal chlorpyrifos concentrations at different exposure times,10.1016/j.ecoenv.2017.07.007,https://www.sciencedirect.com/science/article/pii/S0147651317304219?via%3Dihub,Ecotoxicology and Environmental Safety,khalil_2017 ,khalil_2017_exp_001,khalil_2017_exp2_001,khalil_2017_exp_001_assay_006,khalil_2017_exp2_001_assay2_006,Japanese medaka,Oryzias latipes,laboratory stock from not specified source,not reported ,chlorpyrifos,analytical,2921-88-2,https://commonchemistry.cas.org/detail?cas_rn=2921-88-2&search=chlorpyrifos,organophosphate,0.012,mg/L,12,days,ethanol,25,celsius,schooling,collective behaviour ,duration ,duration of group behaviour,fig1b,khalil_2017_fig1b,1.6,1,4,4,1.81709881,0.41612515,0.208062575,0.41612515,0.208062575,study reports mean and sd,exact sample size provided,1.6,1,4,4,1.81709881,0.41612515,0.036101083,0.072202166,0.036101083,study reports mean and sd,exact sample size provided,,,,
,,KM,Comparison of social behavior responses of Japanese medaka (Oryzias latipes) to lethal and sublethal chlorpyrifos concentrations at different exposure times,10.1016/j.ecoenv.2017.07.007,https://www.sciencedirect.com/science/article/pii/S0147651317304219?via%3Dihub,Ecotoxicology and Environmental Safety,khalil_2017 ,khalil_2017_exp_002,khalil_2017_exp2_002,khalil_2017_exp_002_assay_002,khalil_2017_exp2_002_assay2_002,Japanese medaka,Oryzias latipes,laboratory stock from not specified source,not reported ,chlorpyrifos,analytical,2921-88-2,https://commonchemistry.cas.org/detail?cas_rn=2921-88-2&search=chlorpyrifos,organophosphate,0.12,mg/L,4,days,ethanol,25,celsius,schooling,collective behaviour ,duration ,duration of group behaviour,fig1b,khalil_2017_fig1b,1.6,1,4,4,2.628309339,0.924187726,0.462093863,0.924187726,0.462093863,study reports mean and sd,exact sample size provided,1.6,1,4,4,2.628309339,0.924187726,0.04765343,0.09530686,0.04765343,study reports mean and sd,exact sample size provided,,,,
,,KM,Comparison of social behavior responses of Japanese medaka (Oryzias latipes) to lethal and sublethal chlorpyrifos concentrations at different exposure times,10.1016/j.ecoenv.2017.07.007,https://www.sciencedirect.com/science/article/pii/S0147651317304219?via%3Dihub,Ecotoxicology and Environmental Safety,khalil_2017 ,khalil_2017_exp_001,khalil_2017_exp2_001,khalil_2017_exp_001_assay_007,khalil_2017_exp2_001_assay2_007,Japanese medaka,Oryzias latipes,laboratory stock from not specified source,not reported ,chlorpyrifos,analytical,2921-88-2,https://commonchemistry.cas.org/detail?cas_rn=2921-88-2&search=chlorpyrifos,organophosphate,0.012,mg/L,4,days,ethanol,25,celsius,shoaling,collective behaviour ,frequency,frequency of group behaviour,fig1c,khalil_2017_fig1c,1.6,1,4,4,32.75392542,5.286460808,2.643230404,5.286460808,2.643230404,study reports mean and sd,exact sample size provided,1.6,1,4,4,28.27365465,6.655581948,3.327790974,6.655581948,3.327790974,study reports mean and sd,exact sample size provided,,,,
,,KM,Comparison of social behavior responses of Japanese medaka (Oryzias latipes) to lethal and sublethal chlorpyrifos concentrations at different exposure times,10.1016/j.ecoenv.2017.07.007,https://www.sciencedirect.com/science/article/pii/S0147651317304219?via%3Dihub,Ecotoxicology and Environmental Safety,khalil_2017 ,khalil_2017_exp_001,khalil_2017_exp2_001,khalil_2017_exp_001_assay_008,khalil_2017_exp2_001_assay2_008,Japanese medaka,Oryzias latipes,laboratory stock from not specified source,not reported ,chlorpyrifos,analytical,2921-88-2,https://commonchemistry.cas.org/detail?cas_rn=2921-88-2&search=chlorpyrifos,organophosphate,0.012,mg/L,8,days,ethanol,25,celsius,shoaling,collective behaviour ,frequency,frequency of group behaviour,fig1c,khalil_2017_fig1c,1.6,1,4,4,20.17022362,2.299287411,1.149643705,2.29928741,1.149643705,study reports mean and sd,exact sample size provided,1.6,1,4,4,20.82053712,6.132541568,3.066270784,6.132541568,3.066270784,study reports mean and sd,exact sample size provided,,,,
,,KM,Comparison of social behavior responses of Japanese medaka (Oryzias latipes) to lethal and sublethal chlorpyrifos concentrations at different exposure times,10.1016/j.ecoenv.2017.07.007,https://www.sciencedirect.com/science/article/pii/S0147651317304219?via%3Dihub,Ecotoxicology and Environmental Safety,khalil_2017 ,khalil_2017_exp_001,khalil_2017_exp2_001,khalil_2017_exp_001_assay_009,khalil_2017_exp2_001_assay2_009,Japanese medaka,Oryzias latipes,laboratory stock from not specified source,not reported ,chlorpyrifos,analytical,2921-88-2,https://commonchemistry.cas.org/detail?cas_rn=2921-88-2&search=chlorpyrifos,organophosphate,0.012,mg/L,12,days,ethanol,25,celsius,shoaling,collective behaviour ,frequency,frequency of group behaviour,fig1c,khalil_2017_fig1c,1.6,1,4,4,15.16123492,3.358353127,1.679176564,3.358353128,1.679176564,study reports mean and sd,exact sample size provided,1.6,1,4,4,14.17666886,2.987806809,1.493903405,2.98780681,1.493903405,study reports mean and sd,exact sample size provided,,,,
,,KM,Comparison of social behavior responses of Japanese medaka (Oryzias latipes) to lethal and sublethal chlorpyrifos concentrations at different exposure times,10.1016/j.ecoenv.2017.07.007,https://www.sciencedirect.com/science/article/pii/S0147651317304219?via%3Dihub,Ecotoxicology and Environmental Safety,khalil_2017 ,khalil_2017_exp_002,khalil_2017_exp2_002,khalil_2017_exp_002_assay_003,khalil_2017_exp2_002_assay2_003,Japanese medaka,Oryzias latipes,laboratory stock from not specified source,not reported ,chlorpyrifos,analytical,2921-88-2,https://commonchemistry.cas.org/detail?cas_rn=2921-88-2&search=chlorpyrifos,organophosphate,0.12,mg/L,4,days,ethanol,25,celsius,shoaling,collective behaviour ,frequency,frequency of group behaviour,fig1c,khalil_2017_fig1c,1.6,1,4,4,32.75392542,5.286460808,2.643230404,5.286460808,2.643230404,study reports mean and sd,exact sample size provided,1.6,1,4,4,13.0943802,4.516072842,2.258036421,4.516072842,2.258036421,study reports mean and sd,exact sample size provided,,,,
,,KM,Comparison of social behavior responses of Japanese medaka (Oryzias latipes) to lethal and sublethal chlorpyrifos concentrations at different exposure times,10.1016/j.ecoenv.2017.07.007,https://www.sciencedirect.com/science/article/pii/S0147651317304219?via%3Dihub,Ecotoxicology and Environmental Safety,khalil_2017 ,khalil_2017_exp_001,khalil_2017_exp2_001,khalil_2017_exp_001_assay_010,khalil_2017_exp2_001_assay2_010,Japanese medaka,Oryzias latipes,laboratory stock from not specified source,not reported ,chlorpyrifos,analytical,2921-88-2,https://commonchemistry.cas.org/detail?cas_rn=2921-88-2&search=chlorpyrifos,organophosphate,0.012,mg/L,4,days,ethanol,25,celsius,shoaling ,collective behaviour ,duration,duration of group behaviour,fig1d,khalil_2017_fig1d,1.6,1,4,4,32.75392542,5.286460808,2.643230404,5.286460808,2.643230404,study reports mean and sd,exact sample size provided,1.6,1,4,4,28.27365465,6.655581948,3.327790974,6.655581948,3.327790974,study reports mean and sd,exact sample size provided,,,,
,,KM,Comparison of social behavior responses of Japanese medaka (Oryzias latipes) to lethal and sublethal chlorpyrifos concentrations at different exposure times,10.1016/j.ecoenv.2017.07.007,https://www.sciencedirect.com/science/article/pii/S0147651317304219?via%3Dihub,Ecotoxicology and Environmental Safety,khalil_2017 ,khalil_2017_exp_001,khalil_2017_exp2_001,khalil_2017_exp_001_assay_011,khalil_2017_exp2_001_assay2_011,Japanese medaka,Oryzias latipes,laboratory stock from not specified source,not reported ,chlorpyrifos,analytical,2921-88-2,https://commonchemistry.cas.org/detail?cas_rn=2921-88-2&search=chlorpyrifos,organophosphate,0.012,mg/L,8,days,ethanol,25,celsius,shoaling ,collective behaviour ,duration,duration of group behaviour,fig1d,khalil_2017_fig1d,1.6,1,4,4,20.17022362,2.299287411,1.149643705,2.29928741,1.149643705,study reports mean and sd,exact sample size provided,1.6,1,4,4,20.82053712,6.132541568,3.066270784,6.132541568,3.066270784,study reports mean and sd,exact sample size provided,,,,
,,KM,Comparison of social behavior responses of Japanese medaka (Oryzias latipes) to lethal and sublethal chlorpyrifos concentrations at different exposure times,10.1016/j.ecoenv.2017.07.007,https://www.sciencedirect.com/science/article/pii/S0147651317304219?via%3Dihub,Ecotoxicology and Environmental Safety,khalil_2017 ,khalil_2017_exp_001,khalil_2017_exp2_001,khalil_2017_exp_001_assay_012,khalil_2017_exp2_001_assay2_012,Japanese medaka,Oryzias latipes,laboratory stock from not specified source,not reported ,chlorpyrifos,analytical,2921-88-2,https://commonchemistry.cas.org/detail?cas_rn=2921-88-2&search=chlorpyrifos,organophosphate,0.012,mg/L,12,days,ethanol,25,celsius,shoaling ,collective behaviour ,duration,duration of group behaviour,fig1d,khalil_2017_fig1d,1.6,1,4,4,15.16123492,3.358353127,1.679176564,3.358353128,1.679176564,study reports mean and sd,exact sample size provided,1.6,1,4,4,14.17666886,2.987806809,1.493903405,2.98780681,1.493903405,study reports mean and sd,exact sample size provided,,,,
,,KM,Comparison of social behavior responses of Japanese medaka (Oryzias latipes) to lethal and sublethal chlorpyrifos concentrations at different exposure times,10.1016/j.ecoenv.2017.07.007,https://www.sciencedirect.com/science/article/pii/S0147651317304219?via%3Dihub,Ecotoxicology and Environmental Safety,khalil_2017 ,khalil_2017_exp_002,khalil_2017_exp2_002,khalil_2017_exp_002_assay_004,khalil_2017_exp2_002_assay2_004,Japanese medaka,Oryzias latipes,laboratory stock from not specified source,not reported ,chlorpyrifos,analytical,2921-88-2,https://commonchemistry.cas.org/detail?cas_rn=2921-88-2&search=chlorpyrifos,organophosphate,0.12,mg/L,4,days,ethanol,25,celsius,shoaling ,collective behaviour ,duration,duration of group behaviour,fig1d,khalil_2017_fig1d,1.6,1,4,4,32.75392542,5.286460808,2.643230404,5.286460808,2.643230404,study reports mean and sd,exact sample size provided,1.6,1,4,4,13.0943802,4.516072842,2.258036421,4.516072842,2.258036421,study reports mean and sd,exact sample size provided,,,,
,,KM,New evidence for neurobehavioral toxicity of deltamethrin at environmentally relevant levels in zebrafish,10.1016/j.scitotenv.2022.153623,"https://www.sciencedirect.com/science/article/pii/S004896972200715X#:~:text=Taken%20together%2C%20deltamethrin%20exposure%20increased,social%20behaviors%20in%20adult%20zebrafish.",Science of The Total Environment,lei_2022,lei_2022_exp_001,lei_2022_exp2_004,lei_2022_exp_001_assay_002,lei_2022_exp2_004_assay2_001,zebrafish ,Danio rerio,laboratory stock from not specified source,female,deltamethrin,analytical,52918-63-6,in paper,pyrethroid,30,ng/L,21,days,DMSO,28,celsius,shoaling,collective behaviour ,nearest neighbour distance,group arrangment ,fig2b,lei_2022_fig2b,5.33333,3,24,24,0.216495363,0.032021614,0.035922301,0.10160361,0.02073975,study reports boxplot,"calculated effective sample size from Rutkowska et al., 2014 (ICC assumed at  0.5)",5.33333,3,24,24,0.241332514,0.039515394,0.043225344,0.122259735,0.024956164,study reports boxplot,"calculated effective sample size from Rutkowska et al., 2014 (ICC assumed at  0.5)",,,,
,,KM,New evidence for neurobehavioral toxicity of deltamethrin at environmentally relevant levels in zebrafish,10.1016/j.scitotenv.2022.153623,"https://www.sciencedirect.com/science/article/pii/S004896972200715X#:~:text=Taken%20together%2C%20deltamethrin%20exposure%20increased,social%20behaviors%20in%20adult%20zebrafish.",Science of The Total Environment,lei_2022,lei_2022_exp_002,lei_2022_exp2_005,lei_2022_exp_002_assay_002,lei_2022_exp2_005_assay2_001,zebrafish ,Danio rerio,laboratory stock from not specified source,female,deltamethrin,analytical,52918-63-7,in paper,pyrethroid,100,ng/L,21,days,DMSO,28,celsius,shoaling,collective behaviour ,nearest neighbour distance,group arrangment ,fig2b,lei_2022_fig2b,5.33333,3,24,24,0.216495363,0.032021614,0.035922301,0.10160361,0.02073975,study reports boxplot,"calculated effective sample size from Rutkowska et al., 2014 (ICC assumed at  0.5)",5.33333,3,24,24,0.203639129,0.018523581,0.019888793,0.056254002,0.0114828,study reports boxplot,"calculated effective sample size from Rutkowska et al., 2014 (ICC assumed at  0.5)",,,,
,,KM,New evidence for neurobehavioral toxicity of deltamethrin at environmentally relevant levels in zebrafish,10.1016/j.scitotenv.2022.153623,"https://www.sciencedirect.com/science/article/pii/S004896972200715X#:~:text=Taken%20together%2C%20deltamethrin%20exposure%20increased,social%20behaviors%20in%20adult%20zebrafish.",Science of The Total Environment,lei_2022,lei_2022_exp_003,lei_2022_exp2_006,lei_2022_exp_003_assay_002,lei_2022_exp2_006_assay2_001,zebrafish ,Danio rerio,laboratory stock from not specified source,female,deltamethrin,analytical,52918-63-8,in paper,pyrethroid,333,ng/L,21,days,DMSO,28,celsius,shoaling,collective behaviour ,nearest neighbour distance,group arrangment ,fig2b,lei_2022_fig2b,5.33333,3,24,24,0.216495363,0.032021614,0.035922301,0.10160361,0.02073975,study reports boxplot,"calculated effective sample size from Rutkowska et al., 2014 (ICC assumed at  0.5)",5.33333,3,24,24,0.225795618,0.023086599,0.02418033,0.068392301,0.01396052,study reports boxplot,"calculated effective sample size from Rutkowska et al., 2014 (ICC assumed at  0.5)",,,,
,,KM,New evidence for neurobehavioral toxicity of deltamethrin at environmentally relevant levels in zebrafish,10.1016/j.scitotenv.2022.153623,"https://www.sciencedirect.com/science/article/pii/S004896972200715X#:~:text=Taken%20together%2C%20deltamethrin%20exposure%20increased,social%20behaviors%20in%20adult%20zebrafish.",Science of The Total Environment,lei_2022,lei_2022_exp_001,lei_2022_exp2_004,lei_2022_exp_001_assay_003,lei_2022_exp2_004_assay2_002,zebrafish ,Danio rerio,laboratory stock from not specified source,female,deltamethrin,analytical,52918-63-9,in paper,pyrethroid,30,ng/L,21,days,DMSO,28,celsius,shoaling,collective behaviour ,inter individual difference,group arrangment ,fig2c,lei_2022_fig2c,5.33333,3,24,24,0.111778092,0.022816607,0.127531521,0.360713613,0.073630358,study reports boxplot,"calculated effective sample size from Rutkowska et al., 2014 (ICC assumed at  0.5)",5.33333,3,24,24,0.15949484,0.032556748,0.167505532,0.47377719,0.096709364,study reports boxplot,"calculated effective sample size from Rutkowska et al., 2014 (ICC assumed at  0.5)",,,,
,,KM,New evidence for neurobehavioral toxicity of deltamethrin at environmentally relevant levels in zebrafish,10.1016/j.scitotenv.2022.153623,"https://www.sciencedirect.com/science/article/pii/S004896972200715X#:~:text=Taken%20together%2C%20deltamethrin%20exposure%20increased,social%20behaviors%20in%20adult%20zebrafish.",Science of The Total Environment,lei_2022,lei_2022_exp_002,lei_2022_exp2_005,lei_2022_exp_002_assay_003,lei_2022_exp2_005_assay2_002,zebrafish ,Danio rerio,laboratory stock from not specified source,female,deltamethrin,analytical,52918-63-10,in paper,pyrethroid,100,ng/L,21,days,DMSO,28,celsius,shoaling,collective behaviour ,inter individual difference,group arrangment ,fig2c,lei_2022_fig2c,5.33333,3,24,24,0.111778092,0.022816607,0.127531521,0.360713613,0.073630358,study reports boxplot,"calculated effective sample size from Rutkowska et al., 2014 (ICC assumed at  0.5)",5.33333,3,24,24,0.151126673,0.030848603,0.164349082,0.464849403,0.094886987,study reports boxplot,"calculated effective sample size from Rutkowska et al., 2014 (ICC assumed at  0.5)",,,,
,,KM,New evidence for neurobehavioral toxicity of deltamethrin at environmentally relevant levels in zebrafish,10.1016/j.scitotenv.2022.153623,"https://www.sciencedirect.com/science/article/pii/S004896972200715X#:~:text=Taken%20together%2C%20deltamethrin%20exposure%20increased,social%20behaviors%20in%20adult%20zebrafish.",Science of The Total Environment,lei_2022,lei_2022_exp_003,lei_2022_exp2_006,lei_2022_exp_003_assay_003,lei_2022_exp2_006_assay2_002,zebrafish ,Danio rerio,laboratory stock from not specified source,female,deltamethrin,analytical,52918-63-11,in paper,pyrethroid,333,ng/L,21,days,DMSO,28,celsius,shoaling,collective behaviour ,inter individual difference,group arrangment ,fig2c,lei_2022_fig2c,5.33333,3,24,24,0.111778092,0.022816607,0.127531521,0.360713613,0.073630358,study reports boxplot,"calculated effective sample size from Rutkowska et al., 2014 (ICC assumed at  0.5)",5.33333,3,24,24,0.118276173,0.024143023,0.132909736,0.375925503,0.076735472,study reports boxplot,"calculated effective sample size from Rutkowska et al., 2014 (ICC assumed at  0.5)",,,,
,,KM,Swimming under Pressure: The Sub-Lethal Effects of a Pesticide on the Behaviour of Native and Non-Native Cypriniformes Fish,10.3390/fishes8090462 ,https://www.mdpi.com/2410-3888/8/9/462,Fishes,leite_2023,leite_2023_exp_001,leite_2023_exp2_001,leite_2023_exp_001_assay_001,leite_2023_exp2_001_assay2_001,Iberian barbel,Luciobarbus bocagei,wild collected,not reported ,esfenvalerate,commercial  ,66230-04-4,https://commonchemistry.cas.org/detail?cas_rn=66230-04-4&search=esfenvalerate,pyrethroid,1.2,ug/L,2,hours,not reported ,not reported,not reported,shoaling ,collective behaviour ,cohesion,group arrangment ,in_text,leite_2023_in_text,4.8,3,12,12,0.813,0.453514278,0.358534517,0.717069034,0.207,"study does not state error type used, so we assumed to be SE","calculated effective sample size from Rutkowska et al., 2014 (ICC assumed at  0.5)",4.8,3,12,12,0.705,0.466659619,0.368926822,0.737853644,0.213,"study does not state error type used, so we assumed to be SE","calculated effective sample size from Rutkowska et al., 2014 (ICC assumed at  0.5)",,,,
,,KM,Swimming under Pressure: The Sub-Lethal Effects of a Pesticide on the Behaviour of Native and Non-Native Cypriniformes Fish,10.3390/fishes8090462 ,https://www.mdpi.com/2410-3888/8/9/462,Fishes,leite_2023,leite_2023_exp_002,leite_2023_exp2_002,leite_2023_exp_002_assay_001,leite_2023_exp2_002_assay2_001,Iberian barbel,Luciobarbus bocagei,wild collected,not reported ,esfenvalerate,commercial  ,66230-04-4,https://commonchemistry.cas.org/detail?cas_rn=66230-04-4&search=esfenvalerate,pyrethroid,2,ug/L,2,hours,not reported ,not reported,not reported,shoaling ,collective behaviour ,cohesion,group arrangment ,in_text,leite_2023_in_text,4.8,3,12,12,0.813,0.453514278,0.358534517,0.717069034,0.207,"study does not state error type used, so we assumed to be SE","calculated effective sample size from Rutkowska et al., 2014 (ICC assumed at  0.5)",4.8,3,12,12,0.711,0.462277839,0.36546272,0.730925441,0.211,"study does not state error type used, so we assumed to be SE","calculated effective sample size from Rutkowska et al., 2014 (ICC assumed at  0.5)",,,,
,,KM,Swimming under Pressure: The Sub-Lethal Effects of a Pesticide on the Behaviour of Native and Non-Native Cypriniformes Fish,10.3390/fishes8090462 ,https://www.mdpi.com/2410-3888/8/9/462,Fishes,leite_2023,leite_2023_exp_003,leite_2023_exp2_003,leite_2023_exp_003_assay_001,leite_2023_exp2_003_assay2_001,Bleak,Alburnus alburnus,wild collected,not reported ,esfenvalerate,commercial  ,66230-04-4,https://commonchemistry.cas.org/detail?cas_rn=66230-04-4&search=esfenvalerate,pyrethroid,1.2,ug/L,2,hours,not reported ,not reported,not reported,shoaling ,collective behaviour ,cohesion,group arrangment ,in_text,leite_2023_in_text,4.8,3,12,12,0.311106413,0.284,0.245951215,0.491902429,0.142,"study does not state error type used, so we assumed to be SE","calculated effective sample size from Rutkowska et al., 2014 (ICC assumed at  0.5)",4.8,3,12,12,0.958,0.311106413,0.245951215,0.491902429,0.142,"study does not state error type used, so we assumed to be SE","calculated effective sample size from Rutkowska et al., 2014 (ICC assumed at  0.5)",,,,
,,KM,Swimming under Pressure: The Sub-Lethal Effects of a Pesticide on the Behaviour of Native and Non-Native Cypriniformes Fish,10.3390/fishes8090462 ,https://www.mdpi.com/2410-3888/8/9/462,Fishes,leite_2023,leite_2023_exp_004,leite_2023_exp2_004,leite_2023_exp_004_assay_001,leite_2023_exp2_004_assay2_001,Bleak,Alburnus alburnus,wild collected,not reported ,esfenvalerate,commercial  ,66230-04-4,https://commonchemistry.cas.org/detail?cas_rn=66230-04-4&search=esfenvalerate,pyrethroid,2,ug/L,2,hours,not reported ,not reported,not reported,shoaling ,collective behaviour ,cohesion,group arrangment ,in_text,leite_2023_in_text,4.8,3,12,12,0.311106413,0.284,0.245951215,0.491902429,0.142,"study does not state error type used, so we assumed to be SE","calculated effective sample size from Rutkowska et al., 2014 (ICC assumed at  0.5)",4.8,3,12,12,0.896,0.403123802,0.318697349,0.637394697,0.184,"study does not state error type used, so we assumed to be SE","calculated effective sample size from Rutkowska et al., 2014 (ICC assumed at  0.5)",,,,
 states inter-fish distance as social and I would classified this as shoaling,,KM,DDT and titanium dioxide nanoparticle coexposure induced neurobehavioral deficits in zebrafish,10.1016/j.ntt.2024.107323,https://www.sciencedirect.com/science/article/pii/S0892036224000059?via%3Dihub,,lin_2024,lin_2024_exp_001,lin_2024_exp2_001,lin_2024_exp_001_assay_001,lin_2024_exp2_001_assay2_001,zebrafish ,Danio rerio,laboratory stock from not specified source,female,DDT,analytical,P-029NB-250,in paper ,organochlorine ,5,nm,40,days,DMSO,28,celsius,social interaction,collective behaviour ,inter-individual distance ,group arrangment ,fig3d,lin_2024_fig3d,3.2,2,8,2,26.87687208,0.660930736,0.660930736,1.321861471,0.467348605,study reports mean and sd,"calculated effective sample size from Rutkowska et al., 2014 (ICC assumed at  0.5)",3.2,2,8,2,22.74072489,0.682251082,0.682251083,1.364502165,0.482424367,study reports mean and sd,"calculated effective sample size from Rutkowska et al., 2014 (ICC assumed at  0.5)",,,,
,,KM,DDT and titanium dioxide nanoparticle coexposure induced neurobehavioral deficits in zebrafish,10.1016/j.ntt.2024.107323,https://www.sciencedirect.com/science/article/pii/S0892036224000059?via%3Dihub,,lin_2024,lin_2024_exp_002,lin_2024_exp2_002,lin_2024_exp_002_assay_001,lin_2024_exp2_002_assay2_001,zebrafish ,Danio rerio,laboratory stock from not specified source,male ,DDT,analytical,P-029NB-250,in paper ,organochlorine ,5,nm,40,days,DMSO,28,celsius,social interaction,collective behaviour ,inter-individual distance ,group arrangment ,fig3d,lin_2024_fig3d,3.2,2,8,2,24.52768263,0.563632228,0.563632228,1.127264455,0.39854817,study reports mean and sd,"calculated effective sample size from Rutkowska et al., 2014 (ICC assumed at  0.5)",3.2,2,8,2,24.04573623,0.661655224,0.661655224,1.323310449,0.467860896,study reports mean and sd,"calculated effective sample size from Rutkowska et al., 2014 (ICC assumed at  0.5)",,,,
